claim_id,do_number,carrier,carrier_reference_id,carrier_reference_type,carrier_vendor_code,carrier_scac_code,claim_type,loss_track,loss_tack_code,origin_wh,destination_wh,claim_date,filed_date,claim_amount,approved_amount,claim_status,recovery_rate,days_open,owner_team,last_follow_up,follow_up_status,time_bar_flag,claim_age_bucket,at_risk_amount
CLM-0014,DO-459012,FEDEX,1Z5009763520424799,Tracking Number,FDXV,FXDM,Damage,X-Dock~Warehouse,16,S362,S365,7/23/2025,10/16/2025,93407.00 ,,Denied,,187,SEA,1/15/2026,No Follow-Up Needed,Time-Barred,120+,93407.00 
CLM-0015,DO-459013,PULSE,2946641737,,PLSV,PLSC,Theft,Warehouse~Warehouse,18,S365,S250,12/24/2025,2/11/2026,94540.00 ,73741.00 ,Paid,0.78 ,69,SEA,3/22/2026,No Follow-Up Needed,,61–120,0.00 
CLM-0016,DO-459014,PULSE,2310609492,,PLSV,PLSC,Shortage Partial,Warehouse~X-Dock,12,S360,S362,2/1/2026,3/21/2026,173161.00 ,36364.00 ,Pending,0.21 ,31,SEA,3/29/2026,Overdue,,31–60,68398.50 
CLM-0017,DO-459015,RXO,22808FSDVZLV48112026388,Carrier Claim Number,RXOV,RXOL,Theft,Destination Port,5,S275,S365,6/22/2025,9/28/2025,182906.00 ,,Denied,,205,SDSA,11/9/2025,No Follow-Up Needed,Time-Barred,120+,182906.00 
CLM-0018,DO-459016,JBHUNT,CLM-0018,Carrier Claim Number,JBHV,JBHT,WH damage,Warehouse(Destination WH),8,S275,S361,1/26/2026,3/14/2026,15134.00 ,9080.00 ,Paid,0.60 ,38,SDSA,2/25/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0019,DO-459017,HUBG,2267888212,Customer PO Number,HBGV,HBGX,Theft,Loading Port/Border/Plant~Customer,22,S275,S365,1/18/2026,2/21/2026,7539.00 ,,Denied,,59,SDSA,3/27/2026,Overdue,,31–60,3769.50 
CLM-0020,DO-459018,FEDEX,1Z3090273354135837,Tracking Number,FDXV,FXDM,Theft,Plant~Loading Port,2,S275,S363,2/23/2026,3/23/2026,63747.00 ,,Open,,29,SEA,3/28/2026,Overdue,,0–30,31873.50 
CLM-0021,DO-459019,RXO,92090FSDVZLV46420099371,Carrier Claim Number,RXOV,RXOL,Theft,Plant~Loading Port,7,S361,S365,6/8/2025,6/9/2025,132032.00 ,39610.00 ,Pending,0.30 ,316,SEA,4/1/2026,Overdue,,120+,46211.00 
CLM-0022,DO-459020,FEDEX,1Z1814971991299283,Tracking Number,FDXV,FXDM,WH damage,Warehouse(Destination WH),8,S360,S365,12/6/2025,12/25/2025,189527.00 ,104240.00 ,Pending,0.55 ,117,SDSA,12/19/2025,Overdue,,61–120,42643.50 
CLM-0023,DO-459021,PULSE,2950719810,,PLSV,PLSC,Theft,Unloading Port~TL Center,22,S361,S360,2/18/2026,3/10/2026,36055.00 ,30286.00 ,Paid,0.84 ,42,SEA,3/18/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0024,DO-459022,JBHUNT,CLM-0024,Carrier Claim Number,JBHV,JBHT,Shortage Full,Unloading Port~TL Center,22,S361,S250,12/22/2025,3/30/2026,60569.00 ,36341.00 ,Pending,0.60 ,22,SDSA,2/26/2026,Overdue,,0–30,12114.00 
CLM-0025,DO-459023,XPO,54568FSDVZLV43913882917,Carrier Claim Number,XPOV,XPOL,WH damage,Warehouse(Destination WH),8,S362,S365,2/25/2026,3/8/2026,147544.00 ,,Open,,44,SDSA,4/4/2026,Overdue,,31–60,73772.00 
CLM-0026,DO-459024,XPO,33392FSDVZLV41814449364,Carrier Claim Number,XPOV,XPOL,Damage,Warehouse~X-Dock,12,S250,S363,4/9/2025,4/16/2025,97081.00 ,50482.00 ,Pending,0.52 ,370,SDSA,3/31/2026,Overdue,,120+,23299.50 
CLM-0027,DO-459025,FEDEX,1Z9752434837148750,Tracking Number,FDXV,FXDM,Damage,Loading Port/Border/Plant~Customer,17,S361,S365,6/2/2025,7/6/2025,72726.00 ,30545.00 ,Pending,0.42 ,289,SDSA,7/8/2025,Overdue,,120+,21090.50 
CLM-0028,DO-459026,FEDEX,1Z1788959225825775,Tracking Number,FDXV,FXDM,Damage,Loading Port/Border/Plant~Customer,17,S275,S275,12/7/2025,1/5/2026,27128.00 ,23601.00 ,Paid,0.87 ,106,SDSA,1/22/2026,No Follow-Up Needed,,61–120,0.00 
CLM-0029,DO-459027,PULSE,2801687220,,PLSV,PLSC,WH damage,Warehouse(Destination WH),8,S362,S362,8/20/2025,11/19/2025,124678.00 ,,Denied,,153,SEA,10/11/2025,Overdue,,120+,62339.00 
CLM-0030,DO-459028,JBHUNT,CLM-0030,Carrier Claim Number,JBHV,JBHT,WH damage,Warehouse(Destination WH),8,S360,S360,2/19/2026,3/28/2026,97479.00 ,,Denied,,24,SEA,3/22/2026,Overdue,,0–30,48739.50 
CLM-0031,DO-459029,HUBG,2708640705,Customer PO Number,HBGV,HBGX,Theft,Loading Port/Border/Plant~Customer,8,S363,S275,1/8/2026,3/28/2026,82635.00 ,,Pending,,24,SEA,4/1/2026,No Follow-Up Needed,Time-Barred,0–30,82635.00 
CLM-0032,DO-459030,JBHUNT,CLM-0032,Carrier Claim Number,JBHV,JBHT,Shortage Full,Return (Customer~Warehouse),7,S275,S363,5/27/2025,9/11/2025,181949.00 ,,Open,,222,SDSA,12/31/2025,Overdue,,120+,90974.50 
CLM-0033,DO-459031,BNSF,BNSF-2026-296085,Carrier Claim Number,BNFV,BNSF,Shortage Full,Return (Customer~Warehouse),11,S275,S364,10/21/2025,2/12/2026,190112.00 ,,Denied,,68,SEA,3/5/2026,Overdue,,61–120,95056.00 
CLM-0034,DO-459032,XPO,90059FSDVZLV45408153322,Carrier Claim Number,XPOV,XPOL,Theft,Loading Port/Border/Plant~Customer,8,S360,S362,6/14/2025,7/31/2025,60192.00 ,28892.00 ,Pending,0.48 ,264,SDSA,1/9/2026,Overdue,,120+,15650.00 
CLM-0035,DO-459033,RXO,70509FSDVZLV43022235112,Carrier Claim Number,RXOV,RXOL,WH shortage,Warehouse(Soure WH),7,S360,S361,1/31/2026,2/8/2026,937.00 ,,Open,,72,SEA,3/18/2026,Overdue,,61–120,468.50 
CLM-0036,DO-459034,HUBG,2970429352,Customer PO Number,HBGV,HBGX,Damage,Loading Port/Border/Plant~Customer,17,S364,S360,9/1/2025,11/1/2025,183166.00 ,60445.00 ,Pending,0.33 ,171,SDSA,3/11/2026,No Follow-Up Needed,Time-Barred,120+,122721.00 
CLM-0037,DO-459035,HUBG,2737174206,Customer PO Number,HBGV,HBGX,WH shortage,Warehouse(Soure WH),7,S360,S360,5/19/2025,7/15/2025,121715.00 ,75463.00 ,Paid,0.62 ,280,SEA,10/23/2025,No Follow-Up Needed,,120+,0.00 
CLM-0038,DO-459036,HUBG,2868008172,Customer PO Number,HBGV,HBGX,WH damage,Warehouse(Destination WH),8,S250,S362,10/19/2025,11/18/2025,160557.00 ,,Denied,,154,SEA,3/14/2026,Overdue,,120+,80278.50 
CLM-0039,DO-459037,FEDEX,1Z3496177017675687,Tracking Number,FDXV,FXDM,Shortage Partial,Plant~Loading Port,2,S363,S364,3/8/2026,4/2/2026,10755.00 ,9680.00 ,Paid,0.90 ,19,SEA,3/20/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0040,DO-459038,PULSE,2616519682,,PLSV,PLSC,WH damage,Warehouse(Destination WH),8,S364,S364,12/16/2025,1/25/2026,184481.00 ,,Open,,86,SEA,1/30/2026,Overdue,,61–120,92240.50 
CLM-0041,DO-459039,PULSE,2429525821,,PLSV,PLSC,Theft,Factory~WH,7,S361,S364,1/30/2026,3/22/2026,93177.00 ,,Denied,,30,SDSA,4/1/2026,Overdue,,0–30,46588.50 
CLM-0042,DO-459040,BNSF,BNSF-2026-261497,Carrier Claim Number,BNFV,BNSF,Theft,Loading Port/Border/Plant~Customer,21,S250,S360,9/29/2025,10/10/2025,175257.00 ,,Open,,193,SEA,2/6/2026,Overdue,,120+,87628.50 
CLM-0043,DO-459041,RXO,30915FSDVZLV48716690220,Carrier Claim Number,RXOV,RXOL,Shortage Full,TL Center~WH,20,S360,S365,6/4/2025,7/2/2025,121342.00 ,,Open,,293,SDSA,1/4/2026,Overdue,,120+,60671.00 
CLM-0044,DO-459042,JBHUNT,CLM-0044,Carrier Claim Number,JBHV,JBHT,Theft,Loading Port,3,S275,S360,3/21/2026,4/1/2026,94994.00 ,93094.00 ,Paid,0.98 ,20,SEA,4/3/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0045,DO-459043,BNSF,BNSF-2026-869801,Carrier Claim Number,BNFV,BNSF,WH damage,Warehouse(Destination WH),8,S360,S275,1/6/2026,2/21/2026,176403.00 ,,Denied,,59,SEA,3/23/2026,Overdue,,31–60,88201.50 
CLM-0046,DO-459044,HUBG,2576509737,Customer PO Number,HBGV,HBGX,Shortage Full,TL Center~WH,7,S275,S275,8/16/2025,11/8/2025,103074.00 ,,Open,,164,SEA,12/11/2025,No Follow-Up Needed,Time-Barred,120+,103074.00 
CLM-0047,DO-459045,JBHUNT,CLM-0047,Carrier Claim Number,JBHV,JBHT,WH shortage,Warehouse(Soure WH),7,S363,S250,7/22/2025,9/6/2025,98996.00 ,79197.00 ,Paid,0.80 ,227,SEA,12/22/2025,No Follow-Up Needed,,120+,0.00 
CLM-0048,DO-459046,PULSE,2597069957,,PLSV,PLSC,Shortage Full,TL Center~WH,7,S250,S365,2/17/2026,2/20/2026,184459.00 ,92230.00 ,Pending,0.50 ,60,SEA,4/1/2026,Overdue,,31–60,46114.50 
CLM-0049,DO-459047,FEDEX,1Z7590233035508745,Tracking Number,FDXV,FXDM,Shortage Partial,X-Dock~Warehouse,16,S364,S361,5/5/2025,8/11/2025,181428.00 ,179614.00 ,Paid,0.99 ,253,SDSA,2/4/2026,No Follow-Up Needed,Time-Barred,120+,1814.00 
CLM-0050,DO-459048,RXO,25656FSDVZLV40129438122,Carrier Claim Number,RXOV,RXOL,WH shortage,Warehouse(Soure WH),7,S250,S364,10/9/2025,11/20/2025,121140.00 ,86009.00 ,Paid,0.71 ,152,SEA,1/18/2026,No Follow-Up Needed,,120+,0.00 
CLM-0051,DO-459049,HUBG,2784032436,Customer PO Number,HBGV,HBGX,Shortage Full,TL Center~WH,7,S275,S365,2/17/2026,3/21/2026,49271.00 ,16259.00 ,Pending,0.33 ,31,SEA,3/20/2026,Overdue,,31–60,16506.00 
CLM-0052,DO-459050,XPO,90116FSDVZLV49338300894,Carrier Claim Number,XPOV,XPOL,Shortage Full,Loading Port/Border/Plant~Customer,17,S364,S361,5/19/2025,9/14/2025,106083.00 ,60467.00 ,Pending,0.57 ,219,SEA,9/19/2025,No Follow-Up Needed,Time-Barred,120+,45616.00 
CLM-0053,DO-459051,XPO,55364FSDVZLV41388430723,Carrier Claim Number,XPOV,XPOL,Shortage Full,X-Dock,13,S360,S275,4/12/2025,5/5/2025,189046.00 ,183375.00 ,Paid,0.97 ,351,SDSA,8/25/2025,No Follow-Up Needed,,120+,0.00 
CLM-0054,DO-459052,XPO,92832FSDVZLV47724174408,Carrier Claim Number,XPOV,XPOL,Theft,TL Center~WH,20,S363,S362,10/16/2025,12/15/2025,23072.00 ,10613.00 ,Pending,0.46 ,127,SDSA,3/27/2026,Overdue,,120+,6229.50 
CLM-0055,DO-459053,RXO,89662FSDVZLV47543209565,Carrier Claim Number,RXOV,RXOL,Theft,Destination Port,5,S250,S250,10/21/2025,11/15/2025,39861.00 ,,Denied,,157,SEA,1/30/2026,Overdue,,120+,19930.50 
CLM-0056,DO-459054,PULSE,2533038437,,PLSV,PLSC,WH damage,Warehouse(Destination WH),8,S250,S361,11/6/2025,1/30/2026,67547.00 ,,Open,,81,SEA,3/12/2026,Overdue,,61–120,33773.50 
CLM-0057,DO-459055,BNSF,BNSF-2026-919602,Carrier Claim Number,BNFV,BNSF,Theft,Customer,10,S250,S365,1/26/2026,2/23/2026,100212.00 ,86182.00 ,Paid,0.86 ,57,SDSA,3/29/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0058,DO-459056,RXO,36447FSDVZLV43473802305,Carrier Claim Number,RXOV,RXOL,Shortage Partial,TL Center~WH,20,S363,S360,7/20/2025,10/5/2025,10562.00 ,4119.00 ,Pending,0.39 ,198,SEA,2/9/2026,No Follow-Up Needed,Time-Barred,120+,6443.00 
CLM-0059,DO-459057,JBHUNT,CLM-0059,Carrier Claim Number,JBHV,JBHT,WH shortage,Warehouse(Soure WH),7,S360,S250,3/20/2026,3/27/2026,1922.00 ,1422.00 ,Paid,0.74 ,25,SDSA,3/30/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0060,DO-459058,JBHUNT,CLM-0060,Carrier Claim Number,JBHV,JBHT,WH damage,Warehouse(Destination WH),8,S362,S361,11/7/2025,1/12/2026,23316.00 ,20518.00 ,Paid,0.88 ,99,SEA,12/26/2025,No Follow-Up Needed,,61–120,0.00 
CLM-0061,DO-459059,BNSF,BNSF-2026-974442,Carrier Claim Number,BNFV,BNSF,Shortage Partial,Warehouse(Soure WH),7,S362,S364,5/3/2025,5/28/2025,170907.00 ,104253.00 ,Paid,0.61 ,328,SEA,2/25/2026,No Follow-Up Needed,,120+,0.00 
CLM-0062,DO-459060,JBHUNT,CLM-0062,Carrier Claim Number,JBHV,JBHT,WH damage,Warehouse(Destination WH),8,S360,S364,11/16/2025,2/23/2026,140111.00 ,,Open,,57,SEA,2/24/2026,Overdue,,31–60,70055.50 
CLM-0063,DO-459061,PULSE,2838994898,,PLSV,PLSC,Shortage Partial,Plant~Loading Port,2,S363,S275,10/13/2025,12/14/2025,90807.00 ,,Denied,,128,SDSA,12/31/2025,Overdue,,120+,45403.50 
CLM-0064,DO-459062,FEDEX,1Z9392475662603227,Tracking Number,FDXV,FXDM,Shortage Full,TL Center~WH,7,S362,S275,8/26/2025,11/17/2025,189826.00 ,138573.00 ,Paid,0.73 ,155,SEA,11/4/2025,No Follow-Up Needed,Time-Barred,120+,51253.00 
CLM-0065,DO-459063,PULSE,2551113738,,PLSV,PLSC,WH damage,Warehouse(Destination WH),8,S275,S363,6/1/2025,7/5/2025,122815.00 ,,Open,,290,SDSA,8/11/2025,Overdue,,120+,61407.50 
CLM-0066,DO-459064,PULSE,2427881880,,PLSV,PLSC,Shortage Full,TL Center~WH,7,S364,S275,3/6/2026,3/19/2026,36180.00 ,,Open,,33,SEA,3/28/2026,Overdue,,31–60,18090.00 
CLM-0067,DO-459065,PULSE,2688952001,,PLSV,PLSC,Shortage Partial,Return (Customer~Warehouse),11,S360,S363,5/17/2025,8/3/2025,80338.00 ,,Denied,,261,SDSA,11/29/2025,Overdue,,120+,40169.00 
CLM-0068,DO-459066,PULSE,2279781380,,PLSV,PLSC,Theft,Warehouse(Destination WH),8,S365,S365,6/15/2025,7/23/2025,75351.00 ,28633.00 ,Pending,0.38 ,272,SEA,2/7/2026,Overdue,,120+,23359.00 
CLM-0069,DO-459067,BNSF,BNSF-2026-251844,Carrier Claim Number,BNFV,BNSF,Theft,Loading Port/Border/Plant~Customer,7,S365,S250,10/23/2025,1/13/2026,138970.00 ,,Open,,98,SEA,2/20/2026,Overdue,,61–120,69485.00 
CLM-0070,DO-459068,JBHUNT,CLM-0070,Carrier Claim Number,JBHV,JBHT,Shortage Partial,Warehouse~X-Dock,12,S365,S275,11/4/2025,2/12/2026,151994.00 ,,Denied,,68,SEA,2/14/2026,Overdue,,61–120,75997.00 
CLM-0071,DO-459069,FEDEX,1Z3418509185992034,Tracking Number,FDXV,FXDM,Damage,Customer,10,S364,S275,2/6/2026,4/2/2026,156641.00 ,130012.00 ,Paid,0.83 ,19,SDSA,4/3/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0072,DO-459070,RXO,82785FSDVZLV41792146772,Carrier Claim Number,RXOV,RXOL,Shortage Full,X-Dock,13,S275,S360,12/31/2025,2/21/2026,185456.00 ,142801.00 ,Paid,0.77 ,59,SEA,2/8/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0073,DO-459071,FEDEX,1Z8883259281859374,Tracking Number,FDXV,FXDM,Damage,Warehouse~Warehouse,18,S363,S250,4/15/2025,7/18/2025,54454.00 ,,Open,,277,SDSA,7/29/2025,No Follow-Up Needed,Time-Barred,120+,54454.00 
CLM-0074,DO-459072,HUBG,2679118818,Customer PO Number,HBGV,HBGX,Shortage Full,Unloading Port~TL Center,22,S275,S360,3/15/2026,4/4/2026,33722.00 ,33385.00 ,Paid,0.99 ,17,SEA,3/24/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0075,DO-459073,HUBG,2435656829,Customer PO Number,HBGV,HBGX,Damage,Warehouse~Customer,9,S362,S275,6/3/2025,8/3/2025,51233.00 ,,Open,,261,SEA,1/25/2026,No Follow-Up Needed,Time-Barred,120+,51233.00 
CLM-0076,DO-459074,BNSF,BNSF-2026-814487,Carrier Claim Number,BNFV,BNSF,WH shortage,Warehouse(Soure WH),7,S362,S361,4/20/2025,5/8/2025,133259.00 ,101277.00 ,Paid,0.76 ,348,SEA,1/19/2026,No Follow-Up Needed,,120+,0.00 
CLM-0077,DO-459075,RXO,16162FSDVZLV45243020982,Carrier Claim Number,RXOV,RXOL,Shortage Full,Customer~X-Dock,15,S361,S365,10/24/2025,1/13/2026,89080.00 ,57011.00 ,Paid,0.64 ,98,SDSA,12/6/2025,No Follow-Up Needed,Time-Barred,61–120,32069.00 
CLM-0078,DO-459076,XPO,60065FSDVZLV48930092820,Carrier Claim Number,XPOV,XPOL,Theft,Warehouse~Customer,7,S363,S364,9/19/2025,12/6/2025,89416.00 ,,Denied,,136,SEA,1/30/2026,No Follow-Up Needed,Time-Barred,120+,89416.00 
CLM-0079,DO-459077,PULSE,2593968064,,PLSV,PLSC,Theft,Warehouse~Customer,7,S361,S365,7/10/2025,10/4/2025,162592.00 ,,Denied,,199,SEA,11/24/2025,Overdue,,120+,81296.00 
CLM-0080,DO-459078,BNSF,BNSF-2026-773424,Carrier Claim Number,BNFV,BNSF,Damage,TL Center~WH,20,S275,S250,1/4/2026,1/16/2026,46183.00 ,28633.00 ,Paid,0.62 ,95,SEA,3/2/2026,No Follow-Up Needed,,61–120,0.00 
CLM-0081,DO-459079,FEDEX,1Z3105597452761598,Tracking Number,FDXV,FXDM,Shortage Full,Unloading Port~TL Center,22,S361,S362,4/16/2025,4/26/2025,24733.00 ,22012.00 ,Paid,0.89 ,360,SEA,7/24/2025,No Follow-Up Needed,,120+,0.00 
CLM-0082,DO-459080,BNSF,BNSF-2026-596048,Carrier Claim Number,BNFV,BNSF,Damage,Customer~X-Dock,15,S364,S361,1/21/2026,1/24/2026,18834.00 ,15444.00 ,Paid,0.82 ,87,SDSA,2/12/2026,No Follow-Up Needed,,61–120,0.00 
CLM-0083,DO-459081,JBHUNT,CLM-0083,Carrier Claim Number,JBHV,JBHT,Theft,Warehouse~Customer,9,S363,S250,3/3/2026,3/19/2026,135665.00 ,119385.00 ,Paid,0.88 ,33,SEA,3/16/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0084,DO-459082,PULSE,2502194877,,PLSV,PLSC,WH shortage,Warehouse(Soure WH),7,S275,S275,7/6/2025,9/29/2025,185364.00 ,124194.00 ,Paid,0.67 ,204,SEA,9/10/2025,No Follow-Up Needed,,120+,0.00 
CLM-0085,DO-459083,JBHUNT,CLM-0085,Carrier Claim Number,JBHV,JBHT,Damage,Factory~WH,21,S275,S365,11/14/2025,1/23/2026,169780.00 ,101868.00 ,Paid,0.60 ,88,SEA,3/21/2026,No Follow-Up Needed,,61–120,0.00 
CLM-0086,DO-459084,BNSF,BNSF-2026-118970,Carrier Claim Number,BNFV,BNSF,Shortage Partial,X-Dock~Customer,14,S275,S365,7/31/2025,11/5/2025,52962.00 ,,Open,,167,SEA,10/16/2025,Overdue,,120+,26481.00 
CLM-0087,DO-459085,HUBG,2620236546,Customer PO Number,HBGV,HBGX,Theft,Warehouse~Customer,7,S363,S360,7/31/2025,11/15/2025,149557.00 ,,Denied,,157,SDSA,1/7/2026,No Follow-Up Needed,Time-Barred,120+,149557.00 
CLM-0088,DO-459086,RXO,60243FSDVZLV43458348050,Carrier Claim Number,RXOV,RXOL,Theft,Warehouse~Customer,9,S364,S365,11/11/2025,12/4/2025,105571.00 ,,Open,,138,SDSA,12/24/2025,Overdue,,120+,52785.50 
CLM-0089,DO-459087,XPO,57672FSDVZLV49878877633,Carrier Claim Number,XPOV,XPOL,Shortage Full,Loading Port,3,S363,S250,2/12/2026,4/2/2026,162330.00 ,147720.00 ,Paid,0.91 ,19,SEA,3/8/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0090,DO-459088,JBHUNT,CLM-0090,Carrier Claim Number,JBHV,JBHT,Theft,Warehouse~Customer,7,S360,S365,10/25/2025,12/13/2025,34691.00 ,,Open,,129,SEA,1/19/2026,Overdue,,120+,17345.50 
CLM-0091,DO-459089,XPO,02784FSDVZLV40239437846,Carrier Claim Number,XPOV,XPOL,Shortage Full,Loading Port/Border/Plant~Customer,17,S363,S250,1/18/2026,3/15/2026,7492.00 ,,Open,,37,SEA,3/23/2026,Overdue,,31–60,3746.00 
CLM-0092,DO-459090,HUBG,2644849642,Customer PO Number,HBGV,HBGX,Damage,Unloading Port~TL Center,22,S362,S360,3/7/2026,3/17/2026,55510.00 ,,Open,,35,SDSA,3/26/2026,Overdue,,31–60,27755.00 
CLM-0093,DO-459091,BNSF,BNSF-2026-572546,Carrier Claim Number,BNFV,BNSF,Damage,Warehouse~X-Dock,12,S250,S363,11/28/2025,11/30/2025,16699.00 ,9184.00 ,Pending,0.55 ,142,SEA,3/24/2026,Overdue,,120+,3757.50 
CLM-0094,DO-459092,XPO,59875FSDVZLV48576703090,Carrier Claim Number,XPOV,XPOL,Theft,Loading Port~Destination Port,4,S363,S364,7/30/2025,8/21/2025,152451.00 ,85373.00 ,Pending,0.56 ,243,SEA,12/23/2025,Overdue,,120+,33539.00 
CLM-0095,DO-459093,BNSF,BNSF-2026-771256,Carrier Claim Number,BNFV,BNSF,Shortage Full,Customer,10,S362,S360,3/21/2026,3/26/2026,10405.00 ,6659.00 ,Paid,0.64 ,26,SDSA,4/4/2026,No Follow-Up Needed,,0–30,0.00 
CLM-0096,DO-459094,RXO,44876FSDVZLV47068879307,Carrier Claim Number,RXOV,RXOL,Damage,Customer,10,S361,S365,1/28/2026,3/1/2026,69399.00 ,42333.00 ,Paid,0.61 ,51,SEA,4/2/2026,No Follow-Up Needed,,31–60,0.00 
CLM-0097,DO-459095,HUBG,2595790920,Customer PO Number,HBGV,HBGX,WH damage,Warehouse(Destination WH),8,S363,S365,5/3/2025,6/6/2025,18511.00 ,5183.00 ,Pending,0.28 ,319,SDSA,9/1/2025,Overdue,,120+,6664.00 
CLM-0098,DO-459096,HUBG,2421782620,Customer PO Number,HBGV,HBGX,WH damage,Warehouse(Destination WH),8,S365,S275,1/26/2026,3/24/2026,12701.00 ,4064.00 ,Pending,0.32 ,28,SDSA,3/25/2026,Overdue,,0–30,4318.50 
CLM-0099,DO-459097,XPO,52002FSDVZLV47977839441,Carrier Claim Number,XPOV,XPOL,Shortage Partial,X-Dock,13,S275,S365,11/9/2025,2/22/2026,170332.00 ,,Denied,,58,SEA,3/27/2026,No Follow-Up Needed,Time-Barred,31–60,170332.00 
CLM-0100,DO-459098,HUBG,2252573128,Customer PO Number,HBGV,HBGX,Theft,Destination Port~Warehouse,6,S360,S363,8/9/2025,10/13/2025,73370.00 ,,Open,,190,SEA,1/13/2026,No Follow-Up Needed,Time-Barred,120+,73370.00 
CLM-0101,DO-459099,XPO,58828FSDVZLV48973823683,Carrier Claim Number,XPOV,XPOL,Theft,Warehouse~Customer,7,S364,S361,5/2/2025,7/12/2025,83281.00 ,44139.00 ,Pending,0.53 ,283,SDSA,3/19/2026,No Follow-Up Needed,Time-Barred,120+,39142.00 
